method,memory_depth,best_fitness,time_taken,strategy_bits,pareto_optimal
EDA,1,252.92753473591944,0.3270871639251709,5,True
GA,2,263.9570976887961,65.66244387626648,17,True
GA,3,266.12014479031325,115.62693357467651,65,True
