run,method,best_fitness,time_taken,final_gen
0,GA,301.33501348288854,1.0171971321105957,500
0,EDA,316.85455605060724,0.4117391109466553,500
0,HillClimbing,275.2789878221674,0.29634881019592285,30
0,TabuSearch,275.2789878221674,0.014111757278442383,500
1,GA,205.84345029269517,0.7971649169921875,500
1,EDA,207.43333530618688,0.4142723083496094,500
1,HillClimbing,188.008394090206,0.1523728370666504,30
1,TabuSearch,188.008394090206,0.00506901741027832,500
2,GA,266.15391191788865,0.9265899658203125,500
2,EDA,272.71618790649535,0.4142725467681885,500
2,HillClimbing,243.12666468648575,0.2260901927947998,30
2,TabuSearch,243.12666468648575,0.01922464370727539,500
3,GA,243.27294544024272,0.89266037940979,500
3,EDA,249.92486418736686,0.41619038581848145,500
3,HillClimbing,222.06108584766682,0.20505142211914062,29
3,TabuSearch,222.06108584766682,0.00506138801574707,500
4,GA,212.0211638775222,0.8708300590515137,500
4,EDA,210.8693222186072,0.3878936767578125,500
4,HillClimbing,192.60158346918993,0.15778207778930664,43
4,TabuSearch,192.60158346918993,0.005051136016845703,500
