run,method,best_fitness,time_taken,final_gen
0,GA,301.33501348288854,0.45232534408569336,30
0,EDA,316.85455605060724,0.11860251426696777,30
0,HillClimbing,275.2789878221674,0.30208301544189453,25
0,TabuSearch,275.2789878221674,0.010510683059692383,30
1,GA,205.84345029269517,0.24343371391296387,30
1,EDA,207.43333530618688,0.14205574989318848,30
1,HillClimbing,188.008394090206,0.16763854026794434,26
1,TabuSearch,188.008394090206,0.0,30
2,GA,266.15391191788865,0.38783955574035645,30
2,EDA,272.71618790649535,0.1292276382446289,30
2,HillClimbing,243.12666468648575,0.24065256118774414,25
2,TabuSearch,243.12666468648575,0.016012907028198242,30
3,GA,243.27294544024272,0.30893540382385254,30
3,EDA,249.92486418736686,0.13547539710998535,30
3,HillClimbing,222.06108584766682,0.22331833839416504,25
3,TabuSearch,222.06108584766682,0.0,30
4,GA,212.0211638775222,0.2999391555786133,30
4,EDA,210.8693222186072,0.10001611709594727,30
4,HillClimbing,192.60158346918993,0.16689538955688477,28
4,TabuSearch,192.60158346918993,0.001005411148071289,30
